epoch,train_prediction,train_total,train_reconstruction,train_variance,train_covariance,val_mse,val_mae,learning_rate,epoch_seconds_before_monitor
1,0.4918820999756129,0.4918820999756129,0.0,0.0,0.0,0.4061577219306471,0.46952923036789757,0.001,3.8116094160359353
2,0.4222976111561008,0.4222976111561008,0.0,0.0,0.0,0.40746658493926435,0.45004243528270527,0.001,3.758130868896842
3,0.413265722924981,0.413265722924981,0.0,0.0,0.0,0.3939316612649927,0.4837000896512012,0.001,3.8122209130087867
4,0.4080165303388692,0.4080165303388692,0.0,0.0,0.0,0.39352575031622655,0.4655898976222739,0.001,3.825362325995229
5,0.40398695876344043,0.40398695876344043,0.0,0.0,0.0,0.39848012723811593,0.46042738878791745,0.001,3.747690812102519
6,0.40251941809870284,0.40251941809870284,0.0,0.0,0.0,0.39366386570657746,0.46017468920681015,0.001,3.7008442839141935
7,0.3986250764649253,0.3986250764649253,0.0,0.0,0.0,0.3867070394268863,0.453722596504305,0.001,3.7420294410549104
8,0.39502441780857783,0.39502441780857783,0.0,0.0,0.0,0.3917024771938262,0.44273320906139424,0.001,3.7963902360061184
9,0.39225622135805865,0.39225622135805865,0.0,0.0,0.0,0.3944729149898933,0.4492925416390825,0.001,3.748332384042442
10,0.3920296954034961,0.3920296954034961,0.0,0.0,0.0,0.39239200938027685,0.4587998063880191,0.0005,3.7606914630159736
11,0.38038679476857107,0.38038679476857107,0.0,0.0,0.0,0.391588478266015,0.45028603409495166,0.0005,3.8379379640100524
12,0.3796365755742311,0.3796365755742311,0.0,0.0,0.0,0.38633575501554823,0.4582045077766795,0.0005,3.8725595080759376
13,0.3759299416908548,0.3759299416908548,0.0,0.0,0.0,0.3964810426197615,0.4507378649147147,0.0005,3.7032382180914283
14,0.3748789148410832,0.3748789148410832,0.0,0.0,0.0,0.3873016366683835,0.46119287622174776,0.0005,3.730458121979609
15,0.3712335610858762,0.3712335610858762,0.0,0.0,0.0,0.399115655979399,0.44754366570565707,0.00025,3.820024862070568
16,0.3614085523358159,0.3614085523358159,0.0,0.0,0.0,0.38696700250496363,0.4573391162022386,0.00025,3.9146517569897696
17,0.3584175135283954,0.3584175135283954,0.0,0.0,0.0,0.38355387575889927,0.4529100792269061,0.00025,3.8029180240118876
18,0.35517712028859943,0.35517712028859943,0.0,0.0,0.0,0.3912553446520647,0.45022504747819886,0.00025,3.768802242935635
19,0.3517147634599686,0.3517147634599686,0.0,0.0,0.0,0.39138295280353397,0.4510216662960435,0.00025,3.7655978449620306
20,0.34844133863041926,0.34844133863041926,0.0,0.0,0.0,0.3980099116978626,0.453901827186341,0.000125,3.774708920973353
21,0.33989003097574766,0.33989003097574766,0.0,0.0,0.0,0.39950502357426826,0.4560214937383258,0.000125,3.734969464945607
22,0.3364596411983518,0.3364596411983518,0.0,0.0,0.0,0.39977849804171844,0.4670563500954729,0.000125,3.7043553050607443
23,0.33328580071835806,0.33328580071835806,0.0,0.0,0.0,0.40030533079142194,0.45504757832747045,6.25e-05,3.7416615720139816
24,0.32830031553310157,0.32830031553310157,0.0,0.0,0.0,0.4024630446427473,0.459304386519671,6.25e-05,3.725277174031362
