epoch,split,probe_count,mean_std,near_zero_fraction,near_zero_threshold,effective_rank,rank_upper_bound,mean_absolute_correlation,pooled_effective_rank,pooled_rank_upper_bound,pooled_cosine_mean,adjacent_token_cosine,normal_mse,normal_delta_mse,zero_mse,zero_delta_mse,probe_mean_mse,probe_mean_delta_mse,sample_shuffle_mse,sample_shuffle_delta_mse,time_shuffle_mse,time_shuffle_delta_mse
0,val,64,0.48259093614259313,0.0,0.0001,1.604544831325812,64,0.6672330914504532,1.0824460974915935,63,0.7085464788075295,0.9799331426620483,1.1347859883874716,0.0,1.0819220190071521,-0.05286396938031945,1.1190823522597473,-0.015703636127724296,1.1313488216011696,-0.003437166786302015,1.1368517807553975,0.0020657923679259227
5,val,64,0.2603104889917786,0.0,0.0001,4.772100566393529,64,0.3993260151813823,1.581899431036909,63,0.9778106466673895,0.995438814163208,0.36580868926139654,0.0,1.0800963635851855,0.7142876743237889,1.0282875265217697,0.6624788372603732,1.6787085272050037,1.3128998379436072,1.019726138651111,0.6539174493897144
10,val,64,0.2332282140556141,0.0,0.0001,5.253635253979694,64,0.3635689810820403,2.1034242824203084,63,0.9841599045509615,0.9928944110870361,0.3920941254487447,0.0,1.0767572451302192,0.6846631196814745,1.041062530773775,0.6489684053250304,1.6769645453591269,1.2848704199103822,0.9811937857898488,0.5890996603411041
15,val,64,0.24899328689946215,0.0,0.0001,6.862083003099926,64,0.3209047910668446,2.388301604533762,63,0.980215307542019,0.9894572496414185,0.41738235597754053,0.0,1.0770799085080764,0.659697552530536,1.0257474393943407,0.6083650834168002,1.7030845945968,1.2857022386192596,1.007783940272523,0.5904015842949826
20,val,64,0.27685259972413534,0.0,0.0001,9.303934385183815,64,0.2892417617266663,3.1090828371413344,63,0.9775821025866733,0.9822083115577698,0.4219734097808973,0.0,1.0781441232572155,0.6561707134763182,1.025535572033031,0.6035621622521337,1.673016936170056,1.2510435263891586,1.1316738551171486,0.7097004453362512
24,val,64,0.29286985128322074,0.0,0.0001,11.270488125309317,64,0.2634709060782463,3.386982480349954,63,0.975036683605194,0.978753924369812,0.4414442788294119,0.0,1.078847346969253,0.637403068139841,1.029187011331479,0.587742732502067,1.6938169351769297,1.2523726563475177,1.1905713516486458,0.7491270728192339
