epoch,train_prediction,train_total,train_reconstruction,train_variance,train_covariance,val_mse,val_mae,learning_rate,epoch_seconds_before_monitor
1,0.7381263139773386,0.7381263139773386,0.0,0.0,0.0,0.6923267412690118,0.6804085146783192,0.001,3.4747130539035425
2,0.6957672710680354,0.6957672710680354,0.0,0.0,0.0,0.6801421167526343,0.6810126476767976,0.001,3.390134301967919
3,0.689540293352782,0.689540293352782,0.0,0.0,0.0,0.6711607076834349,0.6775748602396344,0.001,3.4389015909982845
4,0.6831628118694146,0.6831628118694146,0.0,0.0,0.0,0.6700549603451794,0.6655463089137768,0.001,3.426488672965206
5,0.6813605870538118,0.6813605870538118,0.0,0.0,0.0,0.6644019622584009,0.6725414024166283,0.001,3.4866002559429035
6,0.6751355275492599,0.6751355275492599,0.0,0.0,0.0,0.68261736288901,0.6683813987755248,0.001,3.3821186329005286
7,0.6725841552910619,0.6725841552910619,0.0,0.0,0.0,0.6655905581671625,0.6725543426571758,0.001,3.3994320610072464
8,0.6717455720525201,0.6717455720525201,0.0,0.0,0.0,0.6715519936679295,0.6663889170355175,0.0005,3.3848397210240364
9,0.660612092234275,0.660612092234275,0.0,0.0,0.0,0.6588293800525914,0.6698137901906782,0.0005,3.394622378051281
10,0.6562374571437769,0.6562374571437769,0.0,0.0,0.0,0.6616311326981635,0.6578062735103949,0.0005,3.3825337439775467
11,0.6525224208897419,0.6525224208897419,0.0,0.0,0.0,0.6607537172037533,0.6702277641371424,0.0005,3.422513132914901
12,0.6470689998895537,0.6470689998895537,0.0,0.0,0.0,0.6582467470284469,0.66843333776871,0.0005,3.389672101009637
13,0.6410628660684726,0.6410628660684726,0.0,0.0,0.0,0.6654151767249665,0.6564120881480139,0.0005,3.3734440649859607
14,0.6353722739753471,0.6353722739753471,0.0,0.0,0.0,0.6756038576129535,0.6637041106535393,0.0005,3.3778919940814376
15,0.6279337478462852,0.6279337478462852,0.0,0.0,0.0,0.6888094024536991,0.6816062866625976,0.00025,3.40718373702839
16,0.6090029051903738,0.6090029051903738,0.0,0.0,0.0,0.7017699135002408,0.6878316080862071,0.00025,3.382461674977094
17,0.5963122994883561,0.5963122994883561,0.0,0.0,0.0,0.7060847711793695,0.6759522355698354,0.00025,3.3844899780815467
18,0.5873514577366273,0.5873514577366273,0.0,0.0,0.0,0.7121438290765855,0.6782739634375798,0.000125,3.342833989067003
19,0.5674972483971333,0.5674972483971333,0.0,0.0,0.0,0.7300753415445235,0.6795335435951363,0.000125,3.3232192259747535
