epoch,train_prediction,train_total,train_reconstruction,train_variance,train_covariance,val_mse,val_mae,learning_rate,epoch_seconds_before_monitor
1,0.7696246489961334,0.7696246489961334,0.0,0.0,0.0,0.771314001769478,0.7361680884405536,0.001,4.308809207053855
2,0.7334983030858486,0.7334983030858486,0.0,0.0,0.0,0.7607438416054809,0.7201040351645551,0.001,4.2796572839142755
3,0.7279116037333927,0.7279116037333927,0.0,0.0,0.0,0.7665006026461686,0.7291182134912169,0.001,4.34242458792869
4,0.7237132851098953,0.7237132851098953,0.0,0.0,0.0,0.7519324851088294,0.7230094377157903,0.001,4.336872898973525
5,0.7199007178687344,0.7199007178687344,0.0,0.0,0.0,0.7575217279682649,0.7363146568362374,0.001,4.288417255040258
6,0.7184259949848494,0.7184259949848494,0.0,0.0,0.0,0.7441836864531677,0.7143183831082177,0.001,4.282760632922873
7,0.715612837828019,0.715612837828019,0.0,0.0,0.0,0.7440322589499158,0.7117971778477028,0.001,4.29166443599388
8,0.7130514746483904,0.7130514746483904,0.0,0.0,0.0,0.7387316127522394,0.720244979032345,0.001,4.293564045918174
9,0.7111240163254252,0.7111240163254252,0.0,0.0,0.0,0.7595860017194158,0.7072846718360081,0.001,4.279743222054094
10,0.7077684360634967,0.7077684360634967,0.0,0.0,0.0,0.741513895623438,0.7151019226888458,0.001,4.31680824898649
11,0.7061405122249871,0.7061405122249871,0.0,0.0,0.0,0.7360223251425768,0.7205642017508745,0.001,4.2081938709598035
12,0.7014677885660258,0.7014677885660258,0.0,0.0,0.0,0.737750721861366,0.7066619428405619,0.001,4.170553612988442
13,0.6988163598274498,0.6988163598274498,0.0,0.0,0.0,0.7313876479686153,0.7048559346633356,0.001,4.228162275045179
14,0.695096237965364,0.695096237965364,0.0,0.0,0.0,0.7355839282100036,0.7241551446540079,0.001,4.1897525601089
15,0.6889431915730552,0.6889431915730552,0.0,0.0,0.0,0.7396218674619398,0.7147016048283737,0.001,4.199151176027954
16,0.6874599090594287,0.6874599090594287,0.0,0.0,0.0,0.7334222963882229,0.7112863700418486,0.0005,4.203666997957043
17,0.6723278888260783,0.6723278888260783,0.0,0.0,0.0,0.7307542679317415,0.7074348592205113,0.0005,4.168430980993435
18,0.666001599991001,0.666001599991001,0.0,0.0,0.0,0.7341355362758397,0.7016218871214516,0.0005,4.168128320015967
19,0.6603867152115247,0.6603867152115247,0.0,0.0,0.0,0.7296734274722785,0.6990170652023199,0.0005,4.174939293065108
20,0.6546352093209213,0.6546352093209213,0.0,0.0,0.0,0.7420645541755332,0.6963349268772896,0.0005,4.168635245994665
21,0.6490302042360278,0.6490302042360278,0.0,0.0,0.0,0.7376068479531144,0.7030242552437006,0.0005,4.278544271946885
22,0.6414611020219911,0.6414611020219911,0.0,0.0,0.0,0.7572231476002139,0.6987081716079852,0.00025,4.273935482953675
23,0.6219326578459314,0.6219326578459314,0.0,0.0,0.0,0.7618253212045111,0.7054020209247607,0.00025,4.264191673952155
24,0.6123726565566651,0.6123726565566651,0.0,0.0,0.0,0.7647161118923942,0.7094896531255035,0.00025,4.312429690966383
25,0.6052494999600625,0.6052494999600625,0.0,0.0,0.0,0.7661571175890948,0.7083947773496109,0.000125,4.2897948659956455
26,0.5908830271347658,0.5908830271347658,0.0,0.0,0.0,0.780757084851735,0.7126264091591789,0.000125,4.170839193975553
