epoch,split,probe_count,mean_std,near_zero_fraction,near_zero_threshold,effective_rank,rank_upper_bound,mean_absolute_correlation,pooled_effective_rank,pooled_rank_upper_bound,pooled_cosine_mean,adjacent_token_cosine,normal_mse,normal_delta_mse,zero_mse,zero_delta_mse,probe_mean_mse,probe_mean_delta_mse,sample_shuffle_mse,sample_shuffle_delta_mse,time_shuffle_mse,time_shuffle_delta_mse
0,val,64,0.4875308868900162,0.0,0.0001,1.6339481812275003,64,0.6600069247298844,1.1127691175613117,63,0.764309713589428,0.9797921180725098,1.0181707474555701,0.0,0.9827339206586011,-0.03543682679696902,1.014049956184963,-0.00412079127060716,1.0177088814845339,-0.00046186597103625715,1.0179700142764663,-0.00020073317910385136
5,val,64,0.21057840556427881,0.0,0.0001,3.8321308320875738,64,0.4623362209917976,1.4899185100594676,63,0.9877994209758868,0.996182918548584,0.8147552806974085,0.0,0.9792094425163507,0.16445416181894212,0.9955857858391326,0.18083050514172405,1.3352352820096247,0.5204800013122162,0.94766475696343,0.13290947626602145
10,val,64,0.20011861255426083,0.0,0.0001,5.93216392654227,64,0.3369270737627709,2.480058698643224,63,0.9881582005325527,0.9922530651092529,0.805477785584199,0.0,0.9778759346445257,0.1723981490603267,0.982295284761644,0.17681749917744494,1.4353382277710192,0.6298604421868201,0.973317999677201,0.16784021409300198
15,val,64,0.2079055958842586,0.0,0.0001,6.757276115835983,64,0.3158207070394582,2.7354191434113186,63,0.9745336517274674,0.9872267246246338,0.7321009663005938,0.0,0.9775573353210174,0.24545636902042356,0.967593955380085,0.23549298907949112,1.3939351685250236,0.6618342022244298,0.9639977488234739,0.23189678252288004
20,val,64,0.23442050924501795,0.0,0.0001,9.267129178692338,64,0.29296916420723146,3.5442789339685246,63,0.9603280717578034,0.9767634272575378,0.7635278341308388,0.0,0.9775665191488784,0.21403868501803958,0.9962160590831789,0.2326882249523401,1.4588687685958819,0.6953409344650431,1.010965696333652,0.24743786220281316
25,val,64,0.25666129169912866,0.0,0.0001,12.097025643361954,64,0.2663506947978067,4.858863282166742,63,0.9562177450725392,0.964833676815033,0.771541455949384,0.0,0.977701556516782,0.20616010056739809,0.9799944909512222,0.2084530350018382,1.5112138762906964,0.7396724203413124,1.0384227195951619,0.2668812636457779
26,val,64,0.2622210484943912,0.0,0.0001,13.00971241680293,64,0.2578030215440313,5.662956731655404,63,0.9562496828570608,0.9611884355545044,0.7730203359231249,0.0,0.9776575204777009,0.20463718455457602,0.9852295386759885,0.2122092027528636,1.5095338163339442,0.7365134804108193,1.0321734911096911,0.25915315518656623
