epoch,split,probe_count,mean_std,near_zero_fraction,near_zero_threshold,effective_rank,rank_upper_bound,mean_absolute_correlation,pooled_effective_rank,pooled_rank_upper_bound,pooled_cosine_mean,adjacent_token_cosine,normal_mse,normal_delta_mse,zero_mse,zero_delta_mse,probe_mean_mse,probe_mean_delta_mse,sample_shuffle_mse,sample_shuffle_delta_mse,time_shuffle_mse,time_shuffle_delta_mse
0,val,64,0.4886846857628545,0.0,0.0001,1.5961673584655953,64,0.6709424040372741,1.108790986015184,63,0.7315376439951518,0.9801041483879089,1.2143298667023705,0.0,1.0808286706530694,-0.1335011960493011,1.0971480651830656,-0.1171818015193049,1.2134252711426494,-0.0009045955597211108,1.2377887138731618,0.023458847170791275
5,val,64,0.26024687722704953,0.0,0.0001,3.561666304443839,64,0.4919205503335033,1.4070383407243112,63,0.9777400092871839,0.9958589673042297,0.1735456244735262,0.0,1.0821497233806217,0.9086040989070955,1.059336900746162,0.8857912762726358,1.8637017844953998,1.6901561600218735,0.9412512104690315,0.7677055859955053
10,val,64,0.2566461815464679,0.0,0.0001,4.548521481052524,64,0.4311039312451714,1.56010409010427,63,0.9824015023603434,0.9941883087158203,0.16932506700601282,0.0,1.0801409885578501,0.9108159215518373,1.0580013055587891,0.8886762385527763,1.8698735614118966,1.7005484944058837,0.8086629474900779,0.6393378804840651
15,val,64,0.2708414051379777,0.0,0.0001,5.884189744628511,64,0.39144677688552176,1.7905201831144277,63,0.9830344124491301,0.9913092255592346,0.1629307060081628,0.0,1.0791145203250256,0.9161838143168628,1.0579627714763393,0.8950320654681765,1.7905860717773077,1.6276553657691448,0.7874271688036195,0.6244964627954567
20,val,64,0.29060599685610494,0.0,0.0001,7.055873698761279,64,0.36190477120890646,1.8919753065829779,63,0.9810225405144707,0.9882094860076904,0.17122484193418097,0.0,1.0792434864678355,0.9080186445336546,1.058869168471135,0.8876443265369541,1.8876052914571524,1.7163804495229713,0.7852949129701537,0.6140700710359728
22,val,64,0.28615408914534674,0.0,0.0001,7.083155484138948,64,0.3651774451331453,1.9070336914385124,63,0.9816770403366557,0.987928032875061,0.1629209389130439,0.0,1.0791394461455286,0.9162185072324847,1.0583984042863648,0.8954774653733208,1.842701229555135,1.6797802906420911,0.797395879499251,0.634474940586207
