epoch,train_prediction,train_total,train_reconstruction,train_variance,train_covariance,val_mse,val_mae,learning_rate,epoch_seconds_before_monitor
1,0.18735722642953873,0.18735722642953873,0.0,0.0,0.0,0.12968788196328745,0.23254729743788333,0.001,3.8229343459242955
2,0.13480502048363002,0.13480502048363002,0.0,0.0,0.0,0.1322554969353625,0.23938269006213117,0.001,3.5932502390351146
3,0.1293900814018409,0.1293900814018409,0.0,0.0,0.0,0.12307545610638317,0.22658636915521302,0.001,3.5775036880513653
4,0.12694723998896304,0.12694723998896304,0.0,0.0,0.0,0.11724179397113967,0.20778486560040552,0.001,3.581214722013101
5,0.12527605295932823,0.12527605295932823,0.0,0.0,0.0,0.11663812345914651,0.22242127253516852,0.001,3.571768785943277
6,0.12386346545816834,0.12386346545816834,0.0,0.0,0.0,0.11677406696507395,0.19898540410658938,0.001,3.628925265977159
7,0.12160384609837534,0.12160384609837534,0.0,0.0,0.0,0.11915866304517683,0.21730035176683282,0.001,3.6402820920338854
8,0.12180157974943115,0.12180157974943115,0.0,0.0,0.0,0.12259458893686764,0.21840439781084034,0.0005,3.779628849006258
9,0.11739355991571007,0.11739355991571007,0.0,0.0,0.0,0.11450770430214015,0.2013119164745673,0.0005,3.9227455949876457
10,0.11613698891547228,0.11613698891547228,0.0,0.0,0.0,0.11179835347452394,0.20439648693853105,0.0005,3.902849372010678
11,0.1151106655734332,0.1151106655734332,0.0,0.0,0.0,0.11160451491354327,0.1999445142165826,0.0005,3.8071783139603212
12,0.11467171827077538,0.11467171827077538,0.0,0.0,0.0,0.1139040955779555,0.19793034982840732,0.0005,3.793367831967771
13,0.1134650872565092,0.1134650872565092,0.0,0.0,0.0,0.11186814334945204,0.21018621653460753,0.0005,3.6766389159020036
14,0.11292800078119831,0.11292800078119831,0.0,0.0,0.0,0.11395658588243679,0.20085744656447596,0.00025,3.6877273640129715
15,0.10958699894328557,0.10958699894328557,0.0,0.0,0.0,0.11463478391693745,0.20288134261043755,0.00025,3.704436643049121
16,0.1086525330824734,0.1086525330824734,0.0,0.0,0.0,0.11321240066448342,0.201232238228236,0.00025,3.715972163947299
17,0.10818219280527142,0.10818219280527142,0.0,0.0,0.0,0.11464927607344126,0.20007001698574278,0.000125,3.7098839579848573
18,0.10541009568309959,0.10541009568309959,0.0,0.0,0.0,0.11294634036629776,0.19632422682444667,0.000125,3.7128878419753164
