epoch,split,probe_count,mean_std,near_zero_fraction,near_zero_threshold,effective_rank,rank_upper_bound,mean_absolute_correlation,pooled_effective_rank,pooled_rank_upper_bound,pooled_cosine_mean,adjacent_token_cosine,normal_mse,normal_delta_mse,zero_mse,zero_delta_mse,probe_mean_mse,probe_mean_delta_mse,sample_shuffle_mse,sample_shuffle_delta_mse,time_shuffle_mse,time_shuffle_delta_mse
0,val,64,0.4861748236769365,0.0,0.0001,1.5912177300373818,64,0.6677442885737078,1.0962247883165892,63,0.7147138376177953,0.9800512790679932,1.23302948558528,0.0,1.0424876321122953,-0.19054185347298458,1.0798877161224814,-0.15314176946279856,1.1939846026161491,-0.03904488296913078,1.225515924713288,-0.007513560871991842
5,val,64,0.23274233054072796,0.0,0.0001,3.854529875155457,64,0.4680273251632435,1.381921229759977,63,0.9847398029874996,0.9958520531654358,0.1486465858515741,0.0,1.0421915793761674,0.8935449935245933,1.0346275479379956,0.8859809620864215,1.9232726901680437,1.7746261043164697,0.9364305460450962,0.7877839601935221
10,val,64,0.22894165692853766,0.0,0.0001,4.835814282714168,64,0.4214317264046698,1.620097824852554,63,0.9900983027913233,0.9942807555198669,0.1388320428654317,0.0,1.0427944765395925,0.9039624336741607,1.0350367966667582,0.8962047538013265,1.9863085677846737,1.847476524919242,0.8116961426747156,0.6728640998092839
15,val,64,0.24296875141388213,0.0,0.0001,5.805528666891664,64,0.3847505056412135,1.787110047858547,63,0.9900724119177001,0.9926398396492004,0.12371049335754525,0.0,1.0431358712118317,0.9194253778542865,1.0263197375247282,0.9026092441671829,2.039745220871105,1.9160347275135596,0.8122318902941918,0.6885213969366466
18,val,64,0.23286403501208341,0.0,0.0001,5.938718713347702,64,0.38371345683718033,1.9622521473618586,63,0.9914318632781685,0.9927111268043518,0.13042346038345667,0.0,1.0430767667466332,0.9126533063631765,1.0332815800408992,0.9028581196574426,2.079454931780988,1.9490314713975314,0.7689516948609567,0.6385282344775001
