epoch,train_prediction,train_total,train_reconstruction,train_variance,train_covariance,val_mse,val_mae,learning_rate,epoch_seconds_before_monitor
1,0.4998406431462505,0.4998406431462505,0.0,0.0,0.0,0.44946739851540246,0.49290748725588174,0.001,3.5446393029997125
2,0.4375504549046498,0.4375504549046498,0.0,0.0,0.0,0.48324045061075066,0.5373542184789578,0.001,3.584910411038436
3,0.4321351829872329,0.4321351829872329,0.0,0.0,0.0,0.45067955500445966,0.4885872565400735,0.001,3.663155804038979
4,0.4236037031764526,0.4236037031764526,0.0,0.0,0.0,0.4437543874341697,0.48282108946261076,0.001,3.69708949199412
5,0.42327257126696205,0.42327257126696205,0.0,0.0,0.0,0.4453890765560855,0.5008851528035604,0.001,3.6503322439966723
6,0.4207886198229073,0.4207886198229073,0.0,0.0,0.0,0.43855432378926323,0.480956899692763,0.001,3.6931471459101886
7,0.41695891693480336,0.41695891693480336,0.0,0.0,0.0,0.45251042457737867,0.48429844282859486,0.001,3.683853856055066
8,0.41617968715288234,0.41617968715288234,0.0,0.0,0.0,0.44086314694454476,0.4930932348174087,0.001,3.6582362699555233
9,0.4147592259543732,0.4147592259543732,0.0,0.0,0.0,0.44612815047015114,0.48577209634858365,0.0005,3.6423219399293885
10,0.40588326061856683,0.40588326061856683,0.0,0.0,0.0,0.4370536729124135,0.48329960062536836,0.0005,3.688458562013693
11,0.40319238282329123,0.40319238282329123,0.0,0.0,0.0,0.44019128475701624,0.4862822729763065,0.0005,3.554711455013603
12,0.4021601216908841,0.4021601216908841,0.0,0.0,0.0,0.44155320864782066,0.490736831143455,0.0005,3.6233743149787188
13,0.3996423814893612,0.3996423814893612,0.0,0.0,0.0,0.44356376470559644,0.48484844870413535,0.00025,3.6644961460260674
14,0.3902930315824569,0.3902930315824569,0.0,0.0,0.0,0.43894646723593117,0.4773266817345021,0.00025,3.659352323040366
15,0.388088990824507,0.388088990824507,0.0,0.0,0.0,0.4451545936998299,0.4856011646401856,0.00025,3.6478175700176507
16,0.38545934695615236,0.38545934695615236,0.0,0.0,0.0,0.4450708420593029,0.48427386617661317,0.000125,3.6737029789946973
17,0.37715680015812164,0.37715680015812164,0.0,0.0,0.0,0.45341441494910556,0.47858503578950334,0.000125,3.775991849019192
