epoch,split,probe_count,mean_std,near_zero_fraction,near_zero_threshold,effective_rank,rank_upper_bound,mean_absolute_correlation,pooled_effective_rank,pooled_rank_upper_bound,pooled_cosine_mean,adjacent_token_cosine,normal_mse,normal_delta_mse,zero_mse,zero_delta_mse,probe_mean_mse,probe_mean_delta_mse,sample_shuffle_mse,sample_shuffle_delta_mse,time_shuffle_mse,time_shuffle_delta_mse
0,val,64,0.4952771757877099,0.0,0.0001,1.6933007463680607,64,0.6396634042997734,1.1513405636410696,63,0.7647278834784917,0.9795970916748047,1.1397287528924325,0.0,1.0758058301780218,-0.06392292271441069,1.1234233108317813,-0.01630544206065121,1.1419367117752273,0.0022079588827947916,1.1468336987463366,0.007104945853904088
5,val,64,0.29937110576438153,0.0,0.0001,3.9032122662226323,64,0.47787676447164107,1.451877122338102,63,0.9607731897662659,0.9951463341712952,0.4822589500049916,0.0,1.0689225268736198,0.5866635768686281,1.0601172628891182,0.5778583128841266,1.6958516134535724,1.2135926634485807,1.0004639233629034,0.5182049733579117
10,val,64,0.2782640730739604,0.0,0.0001,6.075922077864873,64,0.3855802035245563,1.8704016159432613,63,0.9719539568874771,0.9926089644432068,0.47930109273161287,0.0,1.066886093630152,0.5875850008985393,1.0621537837777226,0.5828526910461098,1.7532396369512206,1.2739385442196078,0.9652550978432339,0.48595400511162107
15,val,64,0.32021090800077545,0.0,0.0001,9.36503325882309,64,0.3154238857963907,2.619440307568104,63,0.9662904112095707,0.9854766726493835,0.4974632661911962,0.0,1.0668363304762591,0.569373064285063,1.0626101368482965,0.5651468706571003,1.7507396631206937,1.2532763969294975,0.9558743430927307,0.4584110769015345
17,val,64,0.33033183832526436,0.0,0.0001,10.435713272097551,64,0.3008916213557311,3.0328137218324827,63,0.9682024772428792,0.982624888420105,0.5166093285178566,0.0,1.066954095656546,0.5503447671386894,1.0604393710082372,0.5438300424903806,1.8262672985038801,1.3096579699860236,0.9482668950639871,0.4316575665461305
