epoch,split,probe_count,mean_std,near_zero_fraction,near_zero_threshold,effective_rank,rank_upper_bound,mean_absolute_correlation,pooled_effective_rank,pooled_rank_upper_bound,pooled_cosine_mean,adjacent_token_cosine,normal_mse,normal_delta_mse,zero_mse,zero_delta_mse,probe_mean_mse,probe_mean_delta_mse,sample_shuffle_mse,sample_shuffle_delta_mse,time_shuffle_mse,time_shuffle_delta_mse
0,val,64,0.4908099833824271,0.0,0.0001,1.6081749173436066,64,0.6636710477959422,1.1025057562295497,63,0.722373705036783,0.9797523021697998,1.0599562083340903,0.0,1.024204857904694,-0.035751350429396256,1.0558439304572746,-0.004112277876815673,1.0602956417275362,0.0003394333934458871,1.0597058461229207,-0.0002503622111695858
5,val,64,0.2991280666301711,0.0,0.0001,4.25842706534201,64,0.4396300149716303,1.3478728052956768,63,0.9529600394357799,0.9942870736122131,0.7186967366941568,0.0,1.0159852350836727,0.2972884983895159,1.0167953207274951,0.29809858403333833,1.2308162285410646,0.5121194918469079,0.9857672885468024,0.2670705518526456
10,val,64,0.26447666612434995,0.0,0.0001,5.11700539847956,64,0.40710503763527844,1.448405660930474,63,0.9513197448764065,0.9900169968605042,0.7425950397356054,0.0,1.0130442997767646,0.2704492600411592,1.0146652988598164,0.272070259124211,1.183705159215882,0.4411101194802767,1.0377689981187632,0.29517395838315785
15,val,64,0.2927457066833289,0.0,0.0001,8.197995560736791,64,0.34883710525512257,2.2221080179220905,63,0.9485727301242056,0.983468234539032,0.7535964183478175,0.0,1.0128242065674131,0.2592277882195956,1.0237533493860835,0.270156931038266,1.2372303349356537,0.48363391658783617,1.076857855089889,0.32326143674207153
20,val,64,0.33719206300828763,0.0,0.0001,10.197937263448164,64,0.3178085038979401,2.6524470081696263,63,0.9339101159106009,0.9761332273483276,0.8361162472412266,0.0,1.0129831848863526,0.17686693764512607,1.0136361922493375,0.17751994500811097,1.35581716112543,0.5197009138842034,1.1050067988167767,0.2688905515755501
