epoch,split,probe_count,mean_std,near_zero_fraction,near_zero_threshold,effective_rank,rank_upper_bound,mean_absolute_correlation,pooled_effective_rank,pooled_rank_upper_bound,pooled_cosine_mean,adjacent_token_cosine,normal_mse,normal_delta_mse,zero_mse,zero_delta_mse,probe_mean_mse,probe_mean_delta_mse,sample_shuffle_mse,sample_shuffle_delta_mse,time_shuffle_mse,time_shuffle_delta_mse
0,val,64,0.4951594036837149,0.0,0.0001,1.66255701365357,64,0.6519299713877796,1.1348399378915797,63,0.7524558819552399,0.9794886112213135,1.217440405244947,0.0,1.0815569105824538,-0.13588349466249316,1.0968049429251236,-0.12063546231982336,1.2046908085654844,-0.012749596679462627,1.216946572220585,-0.0004938330243620115
5,val,64,0.23142928039419303,0.0,0.0001,4.162349054701009,64,0.44231941848353995,1.6663325860515574,63,0.986311427529866,0.9949983954429626,0.1520673615590928,0.0,1.0788218975788386,0.9267545360197458,1.0557900985469157,0.9037227369878229,2.199319148825191,2.0472517872660982,1.0400295242217672,0.8879621626626744
10,val,64,0.2570546502968415,0.0,0.0001,5.29090064132845,64,0.39854502168255684,1.6607431295524573,63,0.9824580430844957,0.9924160242080688,0.1398520271955657,0.0,1.0789217253108396,0.939069698115274,1.0552169550114037,0.915364927815838,2.1847434408222095,2.044891413626644,1.169590204824435,1.0297381776288694
15,val,64,0.269628354061797,0.0,0.0001,7.0094625000479756,64,0.34754970792431944,1.9189271329820352,63,0.9828012921780431,0.9888325333595276,0.1406389824887442,0.0,1.078528487747056,0.9378895052583118,1.0563075090873673,0.9156685265986231,2.1296317086004763,1.9889927261117322,1.2140016672039635,1.0733626847152193
20,val,64,0.29780164226527894,0.0,0.0001,8.351231876507326,64,0.3248302812351557,2.021618488692493,63,0.9774286670216391,0.9847264885902405,0.1405284609762323,0.0,1.0781815880546812,0.937653127078449,1.0582744154159496,0.9177459544397173,2.222535725404475,2.0820072644282424,1.2443029072095233,1.103774446233291
22,val,64,0.31389756959993087,0.0,0.0001,8.826884841356966,64,0.3152151580599702,2.0360076682754915,63,0.9743568013496287,0.9831250309944153,0.14226203314542205,0.0,1.0781999392423025,0.9359379060968804,1.0596584312900397,0.9173963981446176,2.227506469849606,2.085244436704184,1.2757170709678192,1.133455037822397
